episode,side,duration,participation,quantity,completion,reward
0,BUY,600.0,0.06614575021851844,1.4885449218358893,0.9794202919143582,-0.0018902257849654372
1,SELL,120.0,0.0038463761162653883,0.009507104952957991,1.0,0.0003806066408556155
2,SELL,300.0,0.06445113424519973,0.7242970424674459,1.0,0.00046178656509251933
3,BUY,600.0,0.06110466792098643,0.7076141791227789,0.9918890301577166,-0.0011471000277264733
4,BUY,300.0,0.014047533748030644,0.2555324498404678,0.9710043690847008,-0.00430224714148578
5,BUY,120.0,0.04703059918692803,0.12030185922903194,1.0,2.315957025938342e-05
6,SELL,300.0,0.008982169099195457,0.11741056114829679,1.0,-2.0234868321358392e-05
7,SELL,300.0,0.0026165727758504327,0.02146477425321512,1.0,0.00010611032667742259
8,SELL,120.0,0.0013613381059547642,0.006092046330203711,1.0,0.00013750840915401928
9,SELL,600.0,0.005910766291668686,0.19934493658366284,1.0,0.00035596003090334813
10,BUY,600.0,0.003413792191572362,0.04106876155565791,1.0,-0.00022555843004185109
11,SELL,300.0,0.012538936652194058,0.21695166716223618,1.0,3.8328289287501475e-05
12,BUY,300.0,0.005650571877166476,0.0444241507583991,1.0,0.00015754213920967194
13,SELL,120.0,0.024298365549390903,0.11949829924794145,0.9858175223214286,-0.0011010695139135622
14,SELL,600.0,0.006676134972418376,0.13791520847250452,1.0,-0.000306311997016613
15,BUY,600.0,0.012673087655245597,0.42713347519968997,1.0,-0.00023085739868811952
16,SELL,120.0,0.09999763306403145,0.3579987326404538,1.0,-0.00012485385225974037
17,BUY,600.0,0.04096455999759421,1.0884834456959687,1.0,1.9599164999985795e-05
18,SELL,120.0,0.03964151619576686,0.11936923711378283,1.0,0.00013501243599584964
19,SELL,120.0,0.0023317003965110145,0.003933259480043604,1.0,7.938453409676555e-05
20,BUY,300.0,0.008823028043628889,0.06769591161903606,1.0,0.0001411269435088155
21,SELL,600.0,0.0033815384661784057,0.15450136609887796,1.0,0.00014616187151568288
22,SELL,300.0,0.08186864355415413,0.5259073353639211,1.0,0.00022485284995426625
23,SELL,600.0,0.08656029828944581,3.44652814925586,1.0,-9.552181313581391e-05
24,BUY,300.0,0.02794104302903792,0.2393371754942209,1.0,0.00018331863865239526
25,SELL,300.0,0.0011754543325941077,0.02866521075971765,1.0,3.373914806754161e-05
26,SELL,120.0,0.001583523214145112,0.002072620854689241,1.0,1.11681013217844e-06
27,SELL,600.0,0.003820555672066965,0.05232956784267223,1.0,-0.0003936603969430918
28,SELL,120.0,0.0067479396154168396,0.08722161466653211,1.0,5.634260282049116e-05
29,BUY,300.0,0.002132161385783697,0.019658362040491224,1.0,5.746200935999213e-07
30,SELL,300.0,0.002469068218980093,0.024722257069366482,1.0,0.00025875363973647356
31,SELL,120.0,0.026357331561762416,0.23063965640361928,1.0,-0.00020770871102534678
