run_id,strategy,duration,seed,side,participation,market_volume,quantity,filled,completion,arrival_mid,end_mid,baseline_end_mid,peak_impact_observed,peak_impact_causal,end_impact_causal,shortfall
twap_120_0_BUY_0.001,twap,120.0,0,BUY,0.001,4.811332827747923,0.004811332827747923,0.004811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.00013904908419461913
pov_120_0_BUY_0.001,pov,120.0,0,BUY,0.001,4.811332827747923,0.004811332827747923,0.004811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,7.938101856267079e-07
rl_120_0_BUY_0.001,rl,120.0,0,BUY,0.001,4.811332827747923,0.004811332827747923,0.004167961798571843,0.8662800824200666,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.00014854951523154636
twap_120_0_SELL_0.001,twap,120.0,0,SELL,0.001,4.811332827747923,0.004811332827747923,0.004811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,1.587620371484445e-06,-0.0,0.00014063670456587255
pov_120_0_SELL_0.001,pov,120.0,0,SELL,0.001,4.811332827747923,0.004811332827747923,0.004811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,1.587620371484445e-06,-0.0,7.938101858577371e-07
rl_120_0_SELL_0.001,rl,120.0,0,SELL,0.001,4.811332827747923,0.004811332827747923,0.004167961798571843,0.8662800824200666,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,1.587620371484445e-06,-0.0,0.0001501371356030308
twap_120_0_BUY_0.0025,twap,120.0,0,BUY,0.0025,4.811332827747923,0.012028332069369808,0.012028332069369808,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.0001390490841942726
pov_120_0_BUY_0.0025,pov,120.0,0,BUY,0.0025,4.811332827747923,0.012028332069369808,0.012028332069369808,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,7.938101857422225e-07
rl_120_0_BUY_0.0025,rl,120.0,0,BUY,0.0025,4.811332827747923,0.012028332069369808,0.010419904496429606,0.8662800824200665,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.00014854951523166185
twap_120_0_SELL_0.0025,twap,120.0,0,SELL,0.0025,4.811332827747923,0.012028332069369808,0.012028332069369808,1.0,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00014063670456564153
pov_120_0_SELL_0.0025,pov,120.0,0,SELL,0.0025,4.811332827747923,0.012028332069369808,0.012028332069369808,1.0,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,1.587620371484445e-06,-0.0,7.938101857422225e-07
rl_120_0_SELL_0.0025,rl,120.0,0,SELL,0.0025,4.811332827747923,0.012028332069369808,0.010419904496429606,0.8662800824200665,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00015013713560279977
twap_120_0_BUY_0.005,twap,120.0,0,BUY,0.005,4.811332827747923,0.024056664138739615,0.024056664138739615,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.0001390490841942726
pov_120_0_BUY_0.005,pov,120.0,0,BUY,0.005,4.811332827747923,0.024056664138739615,0.024056664138739615,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,3.175240742737861e-06,0.0,7.938101857422225e-07
rl_120_0_BUY_0.005,rl,120.0,0,BUY,0.005,4.811332827747923,0.024056664138739615,0.020839808992859213,0.8662800824200665,62987.350000000006,62987.350000000006,62987.350000000006,0.0,1.587620371484445e-06,0.0,-0.00014854951523166185
twap_120_0_SELL_0.005,twap,120.0,0,SELL,0.005,4.811332827747923,0.024056664138739615,0.024056664138739615,1.0,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00014063670456564153
pov_120_0_SELL_0.005,pov,120.0,0,SELL,0.005,4.811332827747923,0.024056664138739615,0.024056664138739615,1.0,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,3.175240742737861e-06,-0.0,7.938101857422225e-07
rl_120_0_SELL_0.005,rl,120.0,0,SELL,0.005,4.811332827747923,0.024056664138739615,0.020839808992859213,0.8662800824200665,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00015013713560279977
twap_120_0_BUY_0.01,twap,120.0,0,BUY,0.01,4.811332827747923,0.04811332827747923,0.04811332827747923,1.0,62987.350000000006,62987.45,62987.350000000006,1.5876203712534159e-06,1.587620371484445e-06,1.5876203712534159e-06,-0.0001390490841942726
pov_120_0_BUY_0.01,pov,120.0,0,BUY,0.01,4.811332827747923,0.04811332827747923,0.04811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,0.0,4.762861114222305e-06,0.0,7.938101857422225e-07
rl_120_0_BUY_0.01,rl,120.0,0,BUY,0.01,4.811332827747923,0.04811332827747923,0.041679617985718426,0.8662800824200665,62987.350000000006,62987.45,62987.350000000006,1.5876203712534159e-06,1.587620371484445e-06,1.5876203712534159e-06,-0.00014854951523166185
twap_120_0_SELL_0.01,twap,120.0,0,SELL,0.01,4.811332827747923,0.04811332827747923,0.04811332827747923,1.0,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00014063670456564153
pov_120_0_SELL_0.01,pov,120.0,0,SELL,0.01,4.811332827747923,0.04811332827747923,0.04811332827747923,1.0,62987.350000000006,62987.350000000006,62987.350000000006,-0.0,3.175240742737861e-06,-0.0,7.938101857422225e-07
rl_120_0_SELL_0.01,rl,120.0,0,SELL,0.01,4.811332827747923,0.04811332827747923,0.041679617985718426,0.8662800824200665,62987.350000000006,62987.25,62987.350000000006,1.587620371484445e-06,1.587620371484445e-06,1.587620371484445e-06,0.00015013713560279977
twap_120_0_BUY_0.02,twap,120.0,0,BUY,0.02,4.811332827747923,0.09622665655495846,0.09622665655495846,1.0,62987.350000000006,62987.45,62987.350000000006,1.5876203712534159e-06,1.587620371484445e-06,1.5876203712534159e-06,-0.0001390490841942726
