run_id,strategy,duration,seed,side,participation,market_volume,quantity,filled,completion,arrival_mid,end_mid,baseline_end_mid,peak_impact_observed,peak_impact_causal,end_impact_causal,shortfall,paired_execution_cost,penalized_execution_cost
twap_120_0_BUY_0.001,twap,120.0,0,BUY,0.001,2.1052284744271117,0.0021052284744271115,0.0021052284744271115,1.0,62975.850000000006,63083.350000000006,63078.45,0.0017070035577129961,7.780760402612638e-05,7.780760402612638e-05,0.0008810255571512359,3.7051240012336105e-05,3.7051240012336105e-05
twap_120_0_SELL_0.001,twap,120.0,0,SELL,0.001,2.1052284744271117,0.0021052284744271115,0.0021052284744271115,1.0,62975.850000000006,63073.45,63078.45,-0.0015498004393746374,7.939551431223238e-05,7.939551431223238e-05,-0.0008069230771265241,3.705124001238969e-05,3.705124001238969e-05
twap_120_0_BUY_0.0025,twap,120.0,0,BUY,0.0025,2.1052284744271117,0.0052630711860677795,0.0052630711860677795,1.0,62975.850000000006,63086.25,63078.45,0.0017530529560139986,0.00012385700232712873,0.00012385700232712873,0.000902197694301434,5.822337716227344e-05,5.822337716227344e-05
twap_120_0_SELL_0.0025,twap,120.0,0,SELL,0.0025,2.1052284744271117,0.0052630711860677795,0.0052630711860677795,1.0,62975.850000000006,63070.65000000001,63078.45,-0.001505338951359972,0.00012385700232712873,0.00012385700232689766,-0.0007858832658338288,5.809105130514399e-05,5.809105130514399e-05
twap_120_0_BUY_0.005,twap,120.0,0,BUY,0.005,2.1052284744271117,0.010526142372135559,0.010526142372135559,1.0,62975.850000000006,63089.45,63078.45,0.0018038660851737811,0.00017467013148691124,0.00017467013148691124,0.0009256193710232884,8.164505388438943e-05,8.164505388438943e-05
twap_120_0_SELL_0.005,twap,120.0,0,SELL,0.005,2.1052284744271117,0.010526142372135559,0.010526142372135559,1.0,62975.850000000006,63067.350000000006,63078.45,-0.0014529379119138527,0.00017625804177301725,0.00017625804177301725,-0.0007619322856828873,8.204203145598143e-05,8.204203145598143e-05
twap_120_0_BUY_0.01,twap,120.0,0,BUY,0.01,2.1052284744271117,0.021052284744271118,0.021052284744271118,1.0,62975.850000000006,63094.05,63078.45,0.0018769099583411273,0.00024771400465425746,0.00024771400465425746,0.0009588331611772467,0.00011485884403832898,0.00011485884403832898
twap_120_0_SELL_0.01,twap,120.0,0,SELL,0.01,2.1052284744271117,0.021052284744271118,0.021052284744271118,1.0,62975.850000000006,63062.75,63078.45,-0.0013798940387465064,0.00024930191494036344,0.00024930191494036344,-0.0007283215179574603,0.00011565279918151294,0.00011565279918151294
twap_120_0_BUY_0.02,twap,120.0,0,BUY,0.02,2.1052284744271117,0.042104569488542236,0.042104569488542236,1.0,62975.850000000006,63100.45,63078.45,0.0019785362166606923,0.00034934026297382247,0.00034934026297382247,0.0010059411663360766,0.0001619668491969163,0.0001619668491969163
twap_120_0_SELL_0.02,twap,120.0,0,SELL,0.02,2.1052284744271117,0.042104569488542236,0.042104569488542236,1.0,62975.850000000006,63056.25,63078.45,-0.0012766798701406043,0.00035251608354626554,0.00035251608354626554,-0.0006806842093701208,0.00016329010776881104,0.00016329010776881104
twap_120_0_BUY_0.05,twap,120.0,0,BUY,0.05,2.1052284744271117,0.1052614237213556,0.1052614237213556,1.0,62975.850000000006,63113.05,63078.45,0.0021786129127276104,0.0005494169590407405,0.0005494169590407405,0.0010981722887952376,0.00025419797165627254,0.00025419797165627254
twap_120_0_SELL_0.05,twap,120.0,0,SELL,0.05,2.1052284744271117,0.1052614237213556,0.1052614237213556,1.0,62975.850000000006,63043.45,63078.45,-0.001073427353501243,0.0005557686001856267,0.0005557686001856267,-0.0005862035473387261,0.00025777076980040543,0.00025777076980040543
twap_120_0_BUY_0.1,twap,120.0,0,BUY,0.1,2.1052284744271117,0.2105228474427112,0.2105228474427112,1.0,62975.850000000006,63127.15000000001,63078.45,0.002402508263088198,0.0007733123094013282,0.0007733123094013282,0.0012005925022579712,0.0003566181851190529,0.0003566181851190529
twap_120_0_SELL_0.1,twap,120.0,0,SELL,0.1,2.1052284744271117,0.2105228474427112,0.2105228474427112,1.0,62975.850000000006,63030.850000000006,63078.45,-0.0008733506574345562,0.0007780760402598773,0.0007558452962523136,-0.00048246007530396796,0.0003615142418350462,0.0003615142418350462
twap_120_0_BUY_0.2,twap,120.0,0,BUY,0.2,2.1052284744271117,0.4210456948854224,0.4210456948854224,1.0,62975.850000000006,63146.65000000001,63078.45,0.002712150768905904,0.0010829548152190345,0.0010829548152190345,0.0013423134953056987,0.000498339178166437,0.000498339178166437
twap_120_0_SELL_0.2,twap,120.0,0,SELL,0.2,2.1052284744271117,0.4210456948854224,0.4210456948854224,1.0,62975.850000000006,63010.65000000001,63078.45,-0.0005525927796131836,0.0010972460077949128,0.0010766031740736862,-0.000333461160111376,0.0005105131570276623,0.0005105131570276623
