episode,side,duration,participation,quantity,completion,reward
0,BUY,600.0,0.12431249788550254,2.7975302545800385,1.0,-2.138546077738617e-06
1,SELL,120.0,0.004710975135671456,0.011644138194444275,1.0,-7.936111131140271e-07
2,SELL,300.0,0.12065543763119274,1.3559168144569471,1.0,-8.176884455164861e-07
3,BUY,600.0,0.11347635333408725,1.314097258791719,1.0,-1.7794590449748036e-06
4,BUY,300.0,0.0209088962810629,0.38034444949522067,1.0,-7.935531740086949e-07
5,BUY,120.0,0.08396510994057135,0.2147784423513869,1.0,-8.416704410598665e-07
6,SELL,300.0,0.012499118922750407,0.16338242470973613,1.0,-7.940648417600506e-07
7,SELL,300.0,0.0030241816420036953,0.024808549888404596,1.0,-9.168288588317645e-07
8,SELL,120.0,0.0014260340440343246,0.006381563424034162,1.0,-9.437347797438837e-07
9,SELL,600.0,0.00772303051832411,0.260464879330287,1.0,-8.617126316648072e-07
10,BUY,600.0,0.0041067404769487776,0.04940510023871591,1.0,-7.939627075524521e-07
11,SELL,300.0,0.018347015016532135,0.3174444217796361,1.0,-7.993326463061785e-07
12,BUY,300.0,0.007333201019957949,0.057652788909503885,1.0,-1.4806450576868484e-06
13,SELL,120.0,0.039275994431039594,0.1931576231430308,1.0,-8.062661141191493e-07
14,SELL,600.0,0.008884408177454787,0.1835335880731374,1.0,-8.07095461096259e-07
15,BUY,600.0,0.018573031128642017,0.625985043801478,1.0,-1.0880868758622827e-06
16,SELL,120.0,0.1999945536190399,0.7159949144472586,1.0,-1.2050818110688137e-06
17,BUY,600.0,0.07163082042437979,1.9033272232909881,1.0,-8.355869631515229e-07
18,SELL,120.0,0.0689756559621739,0.20770071939142104,1.0,-2.077965552788291e-06
19,SELL,120.0,0.0026485794751171543,0.0044677911213385395,1.0,-7.940005320595252e-07
20,BUY,300.0,0.012244676045969452,0.09394898251629556,1.0,-7.934902063250913e-07
21,SELL,600.0,0.004062131464742902,0.18559743349165345,1.0,-9.861459344402635e-07
22,SELL,300.0,0.15888045886630708,1.0206154045841263,1.0,-1.337227660665446e-06
23,SELL,600.0,0.16940033738845825,6.744928597062708,1.0,-2.4526590875590428e-06
24,BUY,300.0,0.04612366594595277,0.39508574964330606,1.0,-1.17747812209261e-06
25,SELL,300.0,0.0012044056413588297,0.029371231695196207,1.0,-8.119949086625429e-07
