duration,side,participation,peak_observed,peak_causal,shortfall,completion,peak_causal_std
120.0,BUY,0.001,0.0017070035577129961,7.780760402612638e-05,0.0008810255571512359,1.0,
120.0,BUY,0.0025,0.0017530529560139986,0.00012385700232712873,0.000902197694301434,1.0,
120.0,BUY,0.005,0.0018038660851737811,0.00017467013148691124,0.0009256193710232884,1.0,
120.0,BUY,0.01,0.0018769099583411273,0.00024771400465425746,0.0009588331611772467,1.0,
120.0,BUY,0.02,0.0019785362166606923,0.00034934026297382247,0.0010059411663360766,1.0,
120.0,BUY,0.05,0.0021786129127276104,0.0005494169590407405,0.0010981722887952376,1.0,
120.0,BUY,0.1,0.002402508263088198,0.0007733123094013282,0.0012005925022579712,1.0,
120.0,BUY,0.2,0.002712150768905904,0.0010829548152190345,0.0013423134953056987,1.0,
120.0,SELL,0.001,-0.0015498004393746374,7.939551431223238e-05,-0.0008069230771265241,1.0,
120.0,SELL,0.0025,-0.001505338951359972,0.00012385700232712873,-0.0007858832658338288,1.0,
120.0,SELL,0.005,-0.0014529379119138527,0.00017625804177301725,-0.0007619322856828873,1.0,
120.0,SELL,0.01,-0.0013798940387465064,0.00024930191494036344,-0.0007283215179574603,1.0,
120.0,SELL,0.02,-0.0012766798701406043,0.00035251608354626554,-0.0006806842093701208,1.0,
120.0,SELL,0.05,-0.001073427353501243,0.0005557686001856267,-0.0005862035473387261,1.0,
120.0,SELL,0.1,-0.0008733506574345562,0.0007780760402598773,-0.00048246007530396796,1.0,
120.0,SELL,0.2,-0.0005525927796131836,0.0010972460077949128,-0.000333461160111376,1.0,
300.0,BUY,0.001,0.0014604620212698618,0.0001343498612640109,0.00047312225653032284,1.0,
300.0,BUY,0.0025,0.0015379107648219642,0.0002117986048163434,0.0005106875314637452,1.0,
300.0,BUY,0.005,0.001626423614595993,0.000300311454590142,0.000552678448886076,1.0,
300.0,BUY,0.01,0.0017497093696383077,0.0004235972096324568,0.0006118977602826671,1.0,
300.0,BUY,0.02,0.0019235738959799689,0.000597461735974118,0.0006956161640269874,1.0,
300.0,BUY,0.05,0.002266561188853927,0.0009404490288480763,0.0008604713467306039,1.0,
300.0,BUY,0.1,0.0026490631468055357,0.0013229509867996848,0.0010443462548922508,1.0,
300.0,BUY,0.2,0.003181720832052215,0.0018556086720463644,0.0013008227743561776,1.0,
300.0,SELL,0.001,-0.00119176229874184,0.0001343498612640109,-0.00034251311689327486,1.0,
300.0,SELL,0.0025,-0.0011143135551897375,0.00021337919141931142,-0.0003049478419593925,1.0,
300.0,SELL,0.005,-0.0010258007054157088,0.00030189204119334003,-0.00026258812099603184,1.0,
300.0,SELL,0.01,-0.000900934363770426,0.00042517779623565483,-0.00020284194739875801,1.0,
300.0,SELL,0.02,-0.0007239086642223688,0.000602203495783482,-0.00011796444681203886,1.0,
300.0,SELL,0.05,-0.00037143785172991247,0.0009546743082759384,5.0526085079462075e-05,1.0,
300.0,SELL,0.1,2.528938564978817e-05,0.001351401545655639,0.00024051259477275393,1.0,
300.0,SELL,0.2,0.0005863976297524219,0.0019125097897582726,0.0005087381413200924,1.0,
600.0,BUY,0.001,-0.0023866064596952913,0.0003821741905559496,-0.0015223271923801916,1.0,
600.0,BUY,0.0025,-0.0022296137424128713,0.000539166907838139,-0.001462860254016037,1.0,
600.0,BUY,0.005,-0.0020187043343469603,0.0007500763159042806,-0.0013693517971568763,1.0,
600.0,BUY,0.01,-0.0016904468345747324,0.001078333815676278,-0.0012157949474246436,1.0,
600.0,BUY,0.02,-0.0012131255426358126,0.0015556551076151978,-0.000989503424634866,1.0,
600.0,BUY,0.05,-0.0002505540336424754,0.0025182266166085348,-0.000528832875438514,1.0,
600.0,BUY,0.1,0.000842051847241421,0.0036108324974924314,-2.7486940409806465e-06,1.0,
600.0,BUY,0.2,0.0022835304331968237,0.005052311083447834,0.000707471558283734,1.0,
600.0,SELL,0.001,0.003149369055783814,0.00038058840553280396,0.0018961760115654342,1.0,
600.0,SELL,0.0025,0.0033682073889652227,0.0005994267387142123,0.0020033750791238728,1.0,
600.0,SELL,0.005,0.003614004067538492,0.0008452234172874816,0.0021231811376154425,1.0,
600.0,SELL,0.01,0.0039597052025641686,0.001190924552313158,0.002290719325301066,1.0,
600.0,SELL,0.02,0.004440198064549379,0.0016714174142983692,0.0025223496576683904,1.0,
600.0,SELL,0.05,0.005331409247505316,0.0025626285972543054,0.002936239548686907,1.0,
600.0,SELL,0.1,0.006352654802351581,0.0035838741521005703,0.003455822011489751,1.0,
600.0,SELL,0.2,0.007892452059736476,0.005123671409485465,0.004219377500089615,1.0,
