progress,impact_observed,observed_std,impact_causal,causal_std
0.03333333333333333,1.3305727459045473e-05,0.0004007301645514785,1.3305727459045475e-05,2.2473712118116113e-05
0.08297872340425533,5.2308674220136645e-05,0.0003938924421385634,5.2308674220136645e-05,6.696513777365137e-05
0.13232323232323234,0.00014159737507041145,0.0010614649831645058,0.00014159737507041145,0.00014115251654716923
0.18055555555555558,0.00017573023415045825,0.0007085353955859343,0.00017573023415045825,0.00020409936527548424
0.23476190476190475,0.0002804676751894151,0.0007117530227569387,0.0002804676751894151,0.0003057680418529818
0.27916666666666673,0.00032091748825831636,0.0005606628816162244,0.00032091748825831636,0.0003177166093370364
0.3300925925925926,0.0003983898516888233,0.0007123761597883871,0.0003983898516888233,0.0004385592059205822
0.3770833333333334,0.00042647295428928513,0.0006115354546111358,0.00042647295428928513,0.0004131596005307162
0.42162162162162165,0.0005369806127613527,0.000924224718095954,0.0005369806127613527,0.0005842043039387033
0.47777777777777786,0.0005673124101780926,0.0011828229387995804,0.0005673124101780926,0.0006050258852515812
0.5247747747747749,0.0007766097669805466,0.0015009275102445048,0.0007766097669805466,0.0007212362157861899
0.5802083333333334,0.0007145224921606053,0.0014114041253373436,0.0007145224921606053,0.0007567596789118513
0.6255952380952382,0.0010673624432929309,0.0015859769566316185,0.0010673624432929309,0.0009703011984569746
0.673263888888889,0.0008450881694436179,0.0016877518125757447,0.0008450881694436179,0.000891819740059336
0.7299242424242426,0.0009483144075883226,0.0025229356634059305,0.0009483144075883226,0.0009423124951915802
0.7795833333333334,0.0010816270422684372,0.0036035195076258835,0.0010816270422684372,0.0010164685047656535
0.8295833333333335,0.0011168066305874958,0.00407128018282162,0.0011168066305874958,0.0011179630878778058
0.8795833333333334,0.0012532216079516178,0.004267527739742326,0.0012532216079516178,0.0011816992749525068
0.927906976744186,0.0014353329295648523,0.004047770279806213,0.0014353329295648523,0.0013895884575840652
0.9861111111111112,0.0012708605859096294,0.002740312680799427,0.0012708605859096294,0.0013196391882344778
